WMO ID,DATA TIMESTAMP,RECEIVED TIMESTAMP,CLOUD LOW TYPE CL,CLOUD BASE M H,CLOUD PEAK M,CLOUD ELEVATION ANGLE EC,CLOUD LOW MED AMT OKTAS,CLOUD MED TYPE CM,CLOUD HIGH TYPE CH,CLOUD MED DIR DM,CLOUD MED HEIGHT M,CLOUD HIGH DIR DH,CLOUD HIGH HEIGHT M,CLOUD COVER OKTAS M,CLOUD LAYER 1 TYPE C,CLOUD LAYER 2 TYPE C,CLOUD LAYER 1 HEIGHT M HSHS,CLOUD LAYER 2 HEIGHT M HSHS,CLOUD LAYER 1 AMT OKTAS NS,CLOUD LAYER 2 AMT OKTAS NS,EVAPORATION 24HOURS MM EEE,EVAPORATION EQ INDICATOR IE,LAND COND,LAND NOTE,PAST WEATHER W1,PAST WEATHER W2,PRESENT WEATHER WW,PRESSURE TEND 3H MB PPP,PRESSURE READING MB,PRESSURE TEMP C,RAINFALL 24H RRRR,RAINFALL 6H RRR,RAINFALL INDICATOR IR,RAINFALL LAST MM,SOLAR RAD 24H JCM2 F24,SUNSHINE H SSS,TEMP DEWPOINT C TDTDTD,TEMP DRYBULB C TTTTTT,TEMP MAX C TXTXTX,TEMP MIN C TNTNTN,TEMP WETBULB C,VISIBILITY VV,WEATHER INDICATOR IX,WIND DIR DEG DD,WIND INDICATOR IW,WIND SPEED FF,CLOUD DIRECTION ANGLE DA,CLOUD MED COVER OKTAS,CLOUD HIGH COVER OKTAS,RELATIVE HUMIDITY PC,PRESSURE QFF MB DERIVED,PRESSURE QFE MB DERIVED,PRESSURE TEND 24H MB PPP,ENCODED SYNOP,ENTRY USER,OBSERVER NAME
99999,2023-01-01 20:00:00.0 +0:00,2023-01-02 03:02:45.720183 Asia/Jakarta,7,300,,,2,3,2,0,4500,0,9000,7,7,3,300,4500,2,5,,,0,,1,1,3,,,,,,4,,,,22,24.4,,,22.7,10,2,40,4,1,0,5,5,87,1007.4,997.9,,"SIID65 WAJJ 012000
AAXX 01204 
97690 42460 70401 10244 20220 39979 40074 82732
  333 56000 82710 85365 85080=",opr99999,
99999,2023-01-01 21:00:00.0 +0:00,2023-01-02 04:03:21.186155 Asia/Jakarta,7,300,,,4,3,2,0,4500,0,9000,7,7,3,300,4500,4,5,,,0,,2,1,2,1.5,,,,,3,0,,,23,24.8,,,23.5,10,2,10,4,1,0,5,5,90,1008.5,999,,"SIID65 WAJJ 012100
AAXX 01214 
97690 32460 70101 10248 20230 39990 40085 53015 84732
  333 56000 84710 85365 85080=",opr99999,
99999,2023-01-01 22:00:00.0 +0:00,2023-01-02 05:02:54.185059 Asia/Jakarta,7,300,,,2,3,2,0,4500,0,9000,7,7,3,300,4500,2,5,,,0,,2,2,2,,,,,,4,,,,22.8,25.7,,,23.6,10,2,350,4,2,0,5,5,84,1008.7,999.2,,"SIID65 WAJJ 012200
AAXX 01224 
97690 42460 73502 10257 20228 39992 40087 82732
  333 56000 82710 85365 85080=",opr99999,
99999,2023-01-01 23:00:00.0 +0:00,2023-01-02 06:03:14.474285 Asia/Jakarta,8,300,1200,4,4,3,2,0,4500,0,9000,7,8,3,300,4500,4,5,,,0,,2,2,2,,,,,,4,,,,23.8,27.2,,,24.7,10,2,210,4,1,0,5,5,82,1009,999.5,,"SIID65 WAJJ 012300
AAXX 01234 
97690 42460 72101 10272 20238 39995 40090 84832
  333 56000 57804 84810 85365 85080 80840=",opr99999,
99999,2023-01-02 00:00:00.0 +0:00,2023-01-02 07:03:21.226288 Asia/Jakarta,8,360,1200,3,2,3,2,0,4500,0,9000,7,8,3,360,4500,2,4,3.7,0,0,,2,1,2,0.7,,,8888,,1,0,,1.6,23.6,29.1,,23.1,25.1,10,2,160,4,3,0,4,5,72,1009.2,999.7,-0.6,"SMID55 WAJJ 020000
AAXX 02004 
97690 12460 71603 10291 20236 39997 40092 52007 69904 82832
  333 20231 50370 55016 56000 57803 59006 82812 84365 85080 80840=",opr99999,
99999,2023-01-02 01:00:00.0 +0:00,2023-01-02 08:02:49.344635 Asia/Jakarta,8,360,1500,3,2,3,2,0,4500,0,9000,7,8,3,360,4500,2,4,,,0,,2,2,2,,,,,,4,,,,23.9,30.3,,,25.6,10,2,340,4,2,0,4,5,69,1008.6,999.1,,"SIID65 WAJJ 020100
AAXX 02014 
97690 42460 73402 10303 20239 39991 40086 82832
  333 56000 57803 82812 84365 85080 80850=",opr99999,
99999,2023-01-02 02:00:00.0 +0:00,2023-01-02 09:02:38.35896 Asia/Jakarta,8,360,1500,3,2,3,2,0,4500,0,9000,7,8,3,360,4500,2,4,,,0,,2,2,2,,,,,,4,,,,22.6,31.3,,,25,10,2,170,4,5,0,4,5,60,1007.6,998.1,,"SIID65 WAJJ 020200
AAXX 02024 
97690 42460 71705 10313 20226 39981 40076 82832
  333 56000 57803 82812 84365 85080 80850=",opr99999,
99999,2023-01-02 03:00:00.0 +0:00,2023-01-02 10:02:38.521287 Asia/Jakarta,8,360,1800,2,2,3,2,0,4500,,9000,5,8,3,360,4500,2,3,,,0,,2,2,1,-2.7,,,,,3,0,,,21.1,33.8,,,24.7,10,2,160,4,5,,,2,48,1006.5,997,,"SIID65 WAJJ 020300
AAXX 02034 
97690 32460 51605 10338 20211 39970 40065 58027 
  333 82812 83365 80856=",opr99999,
99999,2023-01-02 04:00:00.0 +0:00,2023-01-02 11:02:38.320945 Asia/Jakarta,8,390,2100,2,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,,,,,,4,,,,22.8,32.3,,,25.4,10,2,290,4,5,0,3,2,57,1006,996.5,,"SIID65 WAJJ 020400
AAXX 02044 
97690 42460 52905 10323 20228 39965 40060 82832
  333 56000 57802 82813 83365 80857=",opr99999,
99999,2023-01-02 05:00:00.0 +0:00,2023-01-02 12:02:37.726721 Asia/Jakarta,9,360,6900,1,4,3,2,0,4500,0,9000,7,9,8,360,390,1,3,,,0,,1,1,3,,,,,,4,,,,22.9,32.2,,,25.4,10,2,110,4,5,0,4,5,58,1005.2,995.7,,"SIID65 WAJJ 020500
AAXX 02054 
97690 42460 71105 10322 20229 39957 40052 84932
  333 56000 57901 57802 81912 83813 84365 85080 80973 80857=",opr99999,
99999,2023-01-02 06:00:00.0 +0:00,2023-01-02 13:02:38.591042 Asia/Jakarta,8,390,2100,1,3,3,2,0,4500,0,9000,6,8,3,390,4500,3,3,,,0,,2,1,1,-1.8,,,,0,3,0,,,22.8,31.2,,,25.1,10,2,200,4,3,0,3,3,61,1004.7,995.2,,"SMID55 WAJJ 020600
AAXX 02064 
97690 32460 62003 10312 20228 39952 40047 57018 83832
  333 56000 57801 83813 83365 80857=",opr99999,
99999,2023-01-02 07:00:00.0 +0:00,2023-01-02 14:02:38.144623 Asia/Jakarta,8,390,2100,1,3,3,2,0,4500,0,9000,6,8,3,390,4500,3,3,,,0,,2,2,2,,,,,,4,,,,22.8,30.9,,,25,10,2,140,4,3,0,3,3,62,1005.2,995.7,,"SIID65 WAJJ 020700
AAXX 02074 
97690 42460 61403 10309 20228 39957 40052 83832
  333 56000 57801 83813 83365 80857=",opr99999,
99999,2023-01-02 08:00:00.0 +0:00,2023-01-02 15:02:42.881703 Asia/Jakarta,9,360,9000,1,4,3,2,0,4500,0,9000,7,9,8,360,390,1,3,,,0,,2,2,3,,,,,,4,,,,24.2,28.8,,,25.4,10,2,290,4,5,0,4,5,76,1006.2,996.7,,"SIID65 WAJJ 020800
AAXX 02084 
97690 42460 72905 10288 20242 39967 40062 84932
  333 56000 57901 57802 81912 83813 84365 85080 80980 80857=",opr99999,
99999,2023-01-02 09:00:00.0 +0:00,2023-01-02 16:02:40.536765 Asia/Jakarta,9,360,9000,1,3,3,7,0,4500,0,9000,7,9,8,360,390,1,2,,,0,,2,2,2,2.4,,,,,3,0,,,23.9,27.7,,,24.9,10,2,270,4,7,0,4,5,80,1007.1,997.6,,"SIID65 WAJJ 020900
AAXX 02094 
97690 32460 72707 10277 20239 39976 40071 53024 83937
  333 56000 57901 57802 81912 82813 84365 85280 80980 80857=",opr99999,
99999,2023-01-02 10:00:00.0 +0:00,2023-01-02 17:02:40.76143 Asia/Jakarta,9,360,9000,1,3,3,7,0,4500,0,9000,7,9,8,360,390,1,2,,,0,,2,2,2,,,,,,4,,,,23.5,27.5,,,24.6,10,2,280,4,6,0,4,5,79,1008.1,998.6,,"SIID65 WAJJ 021000
AAXX 02104 
97690 42460 72806 10275 20235 39986 40081 83937
  333 56000 57901 57802 81912 82813 84365 85280 80980 80857=",opr99999,
99999,2023-01-02 11:00:00.0 +0:00,2023-01-02 18:02:39.542247 Asia/Jakarta,9,360,9000,1,3,3,7,0,4500,0,9000,7,9,8,360,390,1,2,,,0,,2,2,2,,,,,,4,,,,23.3,27.3,,,24.4,10,2,260,4,2,0,4,5,79,1008.9,999.4,,"SIID65 WAJJ 021100
AAXX 02114 
97690 42460 72602 10273 20233 39994 40089 83937
  333 56000 57901 57802 81912 82813 84365 85280 80980 80857=",opr99999,
99999,2023-01-02 12:00:00.0 +0:00,2023-01-02 19:02:42.320776 Asia/Jakarta,8,390,,0,2,3,7,0,4500,0,9000,7,8,3,390,4500,2,4,,,0,,2,2,2,2.8,,,,0,3,0,,,22.7,27.1,34.5,,23.9,10,2,270,4,3,0,4,6,77,1009.9,1000.4,1,"SMID55 WAJJ 021200
AAXX 02124 
97690 32460 72703 10271 20227 30004 40099 52028 82837
  333 10345 56000 57800 58010 82813 84365 86280 808//=",opr99999,
99999,2023-01-02 13:00:00.0 +0:00,2023-01-02 21:02:41.500246 Asia/Jakarta,8,390,,0,3,3,2,0,4500,0,9000,7,8,3,390,4500,3,4,,,0,,2,2,2,,,,,,4,,,,23.1,26.8,,,24.1,10,2,20,4,1,0,4,6,80,1009.3,999.8,,"SIID65 WAJJ 021300
AAXX 02134 
97690 42460 70201 10268 20231 39998 40093 83832
  333 56000 57800 83813 84365 86080 808//=",opr99999,
99999,2023-01-02 14:00:00.0 +0:00,2023-01-02 21:04:49.488506 Asia/Jakarta,8,390,,0,3,3,2,0,4500,0,9000,7,8,3,390,4500,3,4,,,0,,2,2,2,,,,,,4,,,,23.2,26.7,,,24.2,10,2,10,4,2,0,4,6,81,1009.6,1000.1,,"SIID65 WAJJ 021400
AAXX 02144 
97690 42460 70102 10267 20232 30001 40096 83832
  333 56000 57800 83813 84365 86080 808//=",opr99999,
99999,2023-01-02 15:00:00.0 +0:00,2023-01-02 23:02:41.941078 Asia/Jakarta,9,330,9000,1,3,3,2,0,4500,0,9000,6,9,8,330,360,1,2,,,0,,2,2,1,-1,,,,,3,0,,,22.7,26.3,,,23.7,10,2,130,4,5,0,3,4,81,1008.9,999.4,,"SIID65 WAJJ 021500
AAXX 02154 
97690 32460 61305 10263 20227 39994 40089 58010 83932
  333 56000 57901 57800 81911 82812 83365 80980 808//=",opr99999,
99999,2023-01-02 16:00:00.0 +0:00,2023-01-02 23:04:46.61809 Asia/Jakarta,8,360,,,2,3,2,0,4500,0,9000,6,8,3,360,4500,2,3,,,0,,2,2,2,,,,,,4,,,,22.7,25.8,,,23.6,10,2,320,4,2,0,3,4,83,1007.8,998.3,,"SIID65 WAJJ 021600
AAXX 02164 
97690 42460 63202 10258 20227 39983 40078 82832
  333 56000 82812 83365=",opr99999,
99999,2023-01-02 17:00:00.0 +0:00,2023-01-03 01:02:39.283985 Asia/Jakarta,8,360,,,2,3,2,0,4500,0,9000,6,8,3,360,4500,2,3,,,0,,2,2,2,,,,,,4,,,,22.7,25.6,,,23.5,10,2,270,4,4,0,3,4,84,1007.1,997.6,,"SIID65 WAJJ 021700
AAXX 02174 
97690 42460 62704 10256 20227 39976 40071 82832
  333 56000 82812 83365=",opr99999,
99999,2023-01-02 18:00:00.0 +0:00,2023-01-03 01:04:44.889587 Asia/Jakarta,8,360,,,2,3,2,0,4500,0,9000,6,8,3,360,4500,2,3,,,0,,2,2,2,-1.9,,,,0,3,0,,,22.6,25.5,,,23.4,10,2,180,4,4,0,3,4,84,1007,997.5,,"SMID55 WAJJ 021800
AAXX 02184 
97690 32460 61804 10255 20226 39975 40070 56019 82832
  333 56000 82812 83365=",opr99999,
99999,2023-01-02 19:00:00.0 +0:00,2023-01-03 03:02:38.957869 Asia/Jakarta,8,360,,,2,3,2,0,4500,0,9000,6,8,3,360,4500,2,3,,,0,,2,2,2,,,,,,4,,,,22,25.2,,,22.9,10,2,170,4,4,0,3,4,82,1007.7,998.2,,"SIID65 WAJJ 021900
AAXX 02194 
97690 42460 61704 10252 20220 39982 40077 82832
  333 56000 82812 83365=",opr99999,
99999,2023-01-02 20:00:00.0 +0:00,2023-01-03 03:04:45.715382 Asia/Jakarta,8,360,,,2,3,2,0,4500,0,9000,6,8,3,360,4500,2,3,,,0,,2,2,2,,,,,,4,,,,22,25,,,22.9,10,2,130,4,3,0,3,4,84,1008.1,998.6,,"SIID65 WAJJ 022000
AAXX 02204 
97690 42460 61303 10250 20220 39986 40081 82832
  333 56000 82812 83365=",opr99999,
99999,2023-01-02 21:00:00.0 +0:00,2023-01-03 05:02:38.932168 Asia/Jakarta,8,360,,,2,3,2,0,4500,0,9000,6,8,3,360,4500,2,3,,,0,,2,2,2,1.7,,,,,3,0,,,21.7,24.8,,,22.6,10,2,360,4,2,0,3,4,83,1008.7,999.2,,"SIID65 WAJJ 022100
AAXX 02214 
97690 32460 63602 10248 20217 39992 40087 51017 82832
  333 56000 82812 83365=",opr99999,
99999,2023-01-02 22:00:00.0 +0:00,2023-01-03 05:04:44.212414 Asia/Jakarta,8,360,,,1,3,7,0,4500,0,9000,7,8,2,360,9000,1,6,,,0,,2,2,3,,,,,,4,,,,21.9,26,,,23.1,10,2,120,4,3,0,2,6,78,1008.9,999.4,,"SIID65 WAJJ 022200
AAXX 02224 
97690 42460 71203 10260 20219 39994 40089 81837
  333 56000 81812 86280=",opr99999,
99999,2023-01-02 23:00:00.0 +0:00,2023-01-03 07:02:38.349038 Asia/Jakarta,8,360,,,1,3,7,0,4500,0,9000,7,8,2,360,9000,1,6,,,0,,2,2,2,,,,,,4,,,,22.5,27.8,,,24,10,2,140,4,4,0,2,6,73,1009.1,999.6,,"SIID65 WAJJ 022300
AAXX 02234 
97690 42460 71404 10278 20225 39996 40091 81837
  333 56000 81812 86280=",opr99999,
99999,2023-01-03 00:00:00.0 +0:00,2023-01-03 07:04:42.732491 Asia/Jakarta,8,360,,,1,3,2,0,4500,0,9000,7,8,0,360,9000,1,6,3.9,0,0,,2,2,2,0,,,,0,3,0,,4.1,22,29.4,,24.7,24.1,10,2,140,4,4,0,2,6,65,1008.7,999.2,-0.5,"SMID55 WAJJ 030000
AAXX 03004 
97690 32460 71404 10294 20220 39992 40087 50000 81832
  333 20247 50390 55041 56000 59005 81812 86080=",opr99999,
99999,2023-01-03 01:00:00.0 +0:00,2023-01-03 08:02:38.786232 Asia/Jakarta,8,360,,,1,3,2,0,4500,0,9000,7,8,0,360,9000,1,6,,,0,,2,2,2,,,,,,4,,,,21.8,30.7,,,24.3,10,2,220,4,4,0,2,6,59,1008.3,998.8,,"SIID65 WAJJ 030100
AAXX 03014 
97690 42460 72204 10307 20218 39988 40083 81832
  333 56000 81812 86080=",opr99999,
